service,operation,formula,variant,variant_category,case_id,identifiable,target_projection,payload_projection,candidate,unsigned_candidate,direct_observable,provenance_only,reject_all_relations,hidden_valid,hidden_state_upper_bound
sqlite,preference_upsert,payload_ne,clean,clean,preference_upsert--clean,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,missing_p1,service,preference_upsert--missing_p1,True,identity,global_bijection,False,False,False,False,False,False,False
sqlite,preference_upsert,payload_ne,missing_p2,service,preference_upsert--missing_p2,True,identity,global_bijection,False,False,False,False,False,False,False
sqlite,preference_upsert,payload_ne,missing_both,service,preference_upsert--missing_both,True,identity,global_bijection,False,False,False,False,False,False,False
sqlite,preference_upsert,payload_ne,duplicate_p1,service,preference_upsert--duplicate_p1,True,identity,global_bijection,False,False,False,False,False,False,False
sqlite,preference_upsert,payload_ne,duplicate_p2,service,preference_upsert--duplicate_p2,True,identity,global_bijection,False,False,False,False,False,False,False
sqlite,preference_upsert,payload_ne,duplicate_both,service,preference_upsert--duplicate_both,True,identity,global_bijection,False,False,False,False,False,False,False
sqlite,preference_upsert,payload_ne,forbidden_p1,service,preference_upsert--forbidden_p1,True,identity,global_bijection,False,False,False,False,False,False,False
sqlite,preference_upsert,payload_ne,forbidden_p2,service,preference_upsert--forbidden_p2,True,identity,global_bijection,False,False,False,False,False,False,False
sqlite,preference_upsert,payload_ne,forbidden_both,service,preference_upsert--forbidden_both,True,identity,global_bijection,False,False,False,False,False,False,False
sqlite,preference_upsert,payload_ne,target_constant_p1_0,service,preference_upsert--target_constant_p1_0,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,target_constant_p1_1,service,preference_upsert--target_constant_p1_1,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,target_constant_p2_0,service,preference_upsert--target_constant_p2_0,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,target_constant_p2_1,service,preference_upsert--target_constant_p2_1,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,target_constant_both_0,service,preference_upsert--target_constant_both_0,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,target_constant_both_1,service,preference_upsert--target_constant_both_1,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,payload_constant_p1_0,service,preference_upsert--payload_constant_p1_0,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,payload_constant_p1_1,service,preference_upsert--payload_constant_p1_1,True,identity,global_bijection,False,False,False,True,False,False,False
sqlite,preference_upsert,payload_ne,payload_constant_p2_0,service,preference_upsert--payload_constant_p2_0,True,identity,global_bijection,False,False,False,True,False,False,False
sqlite,preference_upsert,payload_ne,payload_constant_p2_1,service,preference_upsert--payload_constant_p2_1,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,payload_constant_both_0,service,preference_upsert--payload_constant_both_0,True,identity,global_bijection,False,False,False,True,False,False,False
sqlite,preference_upsert,payload_ne,payload_constant_both_1,service,preference_upsert--payload_constant_both_1,True,identity,global_bijection,False,False,False,True,False,False,False
sqlite,preference_upsert,payload_ne,target_flip_p1,service,preference_upsert--target_flip_p1,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,target_flip_p2,service,preference_upsert--target_flip_p2,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,target_flip_both,service,preference_upsert--target_flip_both,True,identity,global_bijection,True,True,True,True,False,True,True
sqlite,preference_upsert,payload_ne,payload_flip_p1,service,preference_upsert--payload_flip_p1,True,identity,global_bijection,False,False,False,True,False,False,False
sqlite,preference_upsert,payload_ne,payload_flip_p2,service,preference_upsert--payload_flip_p2,True,identity,global_bijection,False,False,False,True,False,False,False
