case_id,family,variant,scope,method,label,prediction,calls,witnesses
record_update__secret_capture__r000,record_update,secret_capture,single_factor_observable,document_trust,True,False,0,
record_update__secret_capture__r000,record_update,secret_capture,single_factor_observable,nominal_repeat,True,False,10,
record_update__secret_capture__r000,record_update,secret_capture,single_factor_observable,random_relational_fuzzing,True,True,10,"ambient_secret_dependency:random_1,random_5|ambient_secret_dependency:random_4,random_7|ambient_secret_dependency:random_7,random_9"
record_update__secret_capture__r000,record_update,secret_capture,single_factor_observable,cep,True,True,10,"ambient_secret_dependency:base,secret_1|ambient_secret_dependency:base,secret_2|ambient_secret_dependency:base_repeat,secret_1|ambient_secret_dependency:base_repeat,secret_2|ambient_secret_dependency:secret_1,secret_2"
record_update__secret_capture__r001,record_update,secret_capture,single_factor_observable,document_trust,True,False,0,
record_update__secret_capture__r001,record_update,secret_capture,single_factor_observable,nominal_repeat,True,False,10,
record_update__secret_capture__r001,record_update,secret_capture,single_factor_observable,random_relational_fuzzing,True,True,10,"ambient_secret_dependency:random_0,random_4|ambient_secret_dependency:random_3,random_4|ambient_secret_dependency:random_4,random_6"
record_update__secret_capture__r001,record_update,secret_capture,single_factor_observable,cep,True,True,10,"ambient_secret_dependency:base,secret_1|ambient_secret_dependency:base,secret_2|ambient_secret_dependency:base_repeat,secret_1|ambient_secret_dependency:base_repeat,secret_2|ambient_secret_dependency:secret_1,secret_2"
record_update__secret_capture__r002,record_update,secret_capture,single_factor_observable,document_trust,True,False,0,
record_update__secret_capture__r002,record_update,secret_capture,single_factor_observable,nominal_repeat,True,False,10,
record_update__secret_capture__r002,record_update,secret_capture,single_factor_observable,random_relational_fuzzing,True,True,10,"ambient_secret_dependency:random_4,random_7"
record_update__secret_capture__r002,record_update,secret_capture,single_factor_observable,cep,True,True,10,"ambient_secret_dependency:base,secret_1|ambient_secret_dependency:base,secret_2|ambient_secret_dependency:base_repeat,secret_1|ambient_secret_dependency:base_repeat,secret_2|ambient_secret_dependency:secret_1,secret_2"
record_update__secret_capture__r003,record_update,secret_capture,single_factor_observable,document_trust,True,False,0,
record_update__secret_capture__r003,record_update,secret_capture,single_factor_observable,nominal_repeat,True,False,10,
record_update__secret_capture__r003,record_update,secret_capture,single_factor_observable,random_relational_fuzzing,True,True,10,"ambient_secret_dependency:random_6,random_8"
record_update__secret_capture__r003,record_update,secret_capture,single_factor_observable,cep,True,True,10,"ambient_secret_dependency:base,secret_1|ambient_secret_dependency:base,secret_2|ambient_secret_dependency:base_repeat,secret_1|ambient_secret_dependency:base_repeat,secret_2|ambient_secret_dependency:secret_1,secret_2"
record_update__secret_capture__r004,record_update,secret_capture,single_factor_observable,document_trust,True,False,0,
record_update__secret_capture__r004,record_update,secret_capture,single_factor_observable,nominal_repeat,True,False,10,
record_update__secret_capture__r004,record_update,secret_capture,single_factor_observable,random_relational_fuzzing,True,False,10,
record_update__secret_capture__r004,record_update,secret_capture,single_factor_observable,cep,True,True,10,"ambient_secret_dependency:base,secret_1|ambient_secret_dependency:base,secret_2|ambient_secret_dependency:base_repeat,secret_1|ambient_secret_dependency:base_repeat,secret_2|ambient_secret_dependency:secret_1,secret_2"
record_update__compound_trigger__r000,record_update,compound_trigger,compound_trigger,document_trust,True,False,0,
record_update__compound_trigger__r000,record_update,compound_trigger,compound_trigger,nominal_repeat,True,False,10,
